initial_x_mm,initial_z_mm,final_mid_x_mm,final_actual_thickness_um,final_vertical_thickness_um,final_pair_cpress_mpa
-42.5,40.0,-42.479610443115234,149.9999346832292,149.99960362911224,0.0
-42.5,45.0,-42.47962188720703,150.0000712772041,149.999737739563,0.0
-42.5,50.0,-42.47960662841797,149.9999346832292,149.99960362911224,0.0
-41.0,-50.0,-40.979618072509766,150.00001539786578,149.999737739563,0.0
-41.0,-45.0,-40.97962951660156,150.0000526507603,149.99978244304657,0.0
-41.0,-40.0,-40.97962188720703,150.00001539786578,149.999737739563,0.0
-41.0,-35.0,-40.97962951660156,150.00008369483203,149.99981224536896,0.0
-41.0,-30.0,-40.979618072509766,150.00001539786578,149.999737739563,0.0
-41.0,-25.0,-40.979618072509766,150.00005885957518,149.99978244304657,0.0
-41.0,-20.0,-40.9796142578125,149.99996572732536,149.9996930360794,0.0
-41.0,-15.0,-40.9796142578125,150.00000918904914,149.999737739563,0.0
-41.0,-10.0,-40.97960662841797,149.99992226558896,149.99964833259583,0.0
-41.0,-5.0,-40.97960662841797,149.99998435377992,149.9997079372406,0.0
-41.0,0.0,-40.9796142578125,149.99990363912667,149.99963343143463,0.0
-41.0,5.0,-40.97960662841797,149.99996572732536,149.9996930360794,0.0
-41.0,10.0,-40.97960662841797,149.99989122148386,149.99961853027344,0.0
-41.0,15.0,-40.979610443115234,149.99998435377992,149.9997079372406,0.0
-41.0,20.0,-40.979610443115234,149.99994089204895,149.99966323375702,0.0
-41.0,25.0,-40.9796142578125,150.0000464419452,149.99976754188538,0.0
-41.0,30.0,-40.9796142578125,149.99996572732536,149.9996930360794,0.0
-41.0,35.0,-40.97962188720703,150.00004023312982,149.99976754188538,0.0
-41.0,40.0,-40.9796142578125,149.99998435377992,149.9997079372406,0.0
-41.0,45.0,-40.97962188720703,150.0000340243142,149.99975264072418,0.0
-41.0,50.0,-40.97960662841797,149.999978144962,149.9997079372406,0.0
-39.5,-50.0,-39.479618072509766,150.00000918904914,149.99981224536896,0.0
-39.5,-45.0,-39.47962951660156,149.9999595185066,149.99975264072418,0.0
-39.5,-40.0,-39.47962188720703,150.0000029802322,149.99979734420776,0.0
-39.5,-35.0,-39.47962951660156,149.99994089204895,149.999737739563,0.0
-39.5,-30.0,-39.479618072509766,149.99999677141503,149.99979734420776,0.0
-39.5,-25.0,-39.47962188720703,149.9999595185066,149.99975264072418,0.0
-39.5,-20.0,-39.4796142578125,150.00004023312982,149.99984204769135,0.0
-39.5,-15.0,-39.4796142578125,149.99999677141503,149.99979734420776,0.0
-39.5,-10.0,-39.479610443115234,150.0000526507603,149.99985694885254,0.0
-39.5,-5.0,-39.47960662841797,150.0000340243142,149.99982714653015,0.0
-39.5,0.0,-39.4796142578125,150.0000774860182,149.99987185001373,0.0
-39.5,5.0,-39.47960662841797,150.00004023312982,149.99984204769135,0.0
-39.5,10.0,-39.479610443115234,150.0000712772041,149.99987185001373,0.0
-39.5,15.0,-39.479610443115234,150.00002781549833,149.99982714653015,0.0
-39.5,20.0,-39.479610443115234,150.00002781549833,149.99982714653015,0.0
-39.5,25.0,-39.4796142578125,149.99999677141503,149.99979734420776,0.0
-39.5,30.0,-39.4796142578125,150.00001539786578,149.99981224536896,0.0
-39.5,35.0,-39.47962188720703,150.0000029802322,149.99979734420776,0.0
-39.5,40.0,-39.4796142578125,150.00000918904914,149.99981224536896,0.0
-39.5,45.0,-39.47962188720703,150.00001539786578,149.99981224536896,0.0
-39.5,50.0,-39.47960662841797,150.00001539786578,149.99981224536896,0.0
-38.0,-50.0,-37.97962188720703,150.00006506838974,149.9999612569809,0.0
-38.0,-45.0,-37.97963333129883,149.99998435377992,149.99987185001373,0.0
-38.0,-40.0,-37.97962188720703,150.00006506838974,149.9999612569809,0.0
-38.0,-35.0,-37.97963333129883,149.99999677141503,149.99988675117493,0.0
-38.0,-30.0,-37.97962188720703,150.00006506838974,149.9999612569809,0.0
-38.0,-25.0,-37.97962188720703,149.99999056259762,149.99988675117493,0.0
-38.0,-20.0,-37.9796142578125,150.00004023312982,149.9999314546585,0.0
-38.0,-15.0,-37.9796142578125,149.99996572732536,149.99985694885254,0.0
-38.0,-10.0,-37.979610443115234,150.00001539786578,149.99990165233612,0.0
-38.0,-5.0,-37.979610443115234,149.99996572732536,149.99985694885254,0.0
-38.0,0.0,-37.979618072509766,149.99999677141503,149.99988675117493,0.0
-38.0,5.0,-37.97960662841797,149.99994710086844,149.99984204769135,0.0
-38.0,10.0,-37.979610443115234,149.99999677141503,149.99988675117493,0.0
-38.0,15.0,-37.9796142578125,149.9999595185066,149.99985694885254,0.0
-38.0,20.0,-37.979610443115234,150.00002781549833,149.99991655349731,0.0
-38.0,25.0,-37.9796142578125,149.99999677141503,149.99988675117493,0.0
-38.0,30.0,-37.9796142578125,150.00001539786578,149.99990165233612,0.0
-38.0,35.0,-37.9796257019043,149.99999677141503,149.99988675117493,0.0
-38.0,40.0,-37.9796142578125,149.99999056259762,149.99988675117493,0.0
-38.0,45.0,-37.97962188720703,150.00000918904914,149.99990165233612,0.0
-38.0,50.0,-37.979610443115234,149.99999677141503,149.99988675117493,0.0
-36.5,-50.0,-36.47962188720703,150.0000774860182,150.00003576278687,0.0
-36.5,-45.0,-36.479637145996094,149.99994710086844,149.99990165233612,0.0
-36.5,-40.0,-36.47962951660156,150.00006506838974,150.00002086162567,0.0
-36.5,-35.0,-36.479637145996094,149.9999595185066,149.99991655349731,0.0
-36.5,-30.0,-36.47962188720703,150.0000340243142,149.99999105930328,0.0
-36.5,-25.0,-36.47962188720703,149.9999719361438,149.9999314546585,0.0
-36.5,-20.0,-36.479618072509766,150.0000340243142,149.99999105930328,0.0
-36.5,-15.0,-36.479618072509766,150.0000029802322,149.9999612569809,0.0
-36.5,-10.0,-36.4796142578125,150.0000340243142,149.99999105930328,0.0
-36.5,-5.0,-36.4796142578125,150.0000216066822,149.9999761581421,0.0
-36.5,0.0,-36.47962188720703,150.00006506838974,150.00002086162567,0.0
-36.5,5.0,-36.479610443115234,150.0000029802322,149.9999612569809,0.0
-36.5,10.0,-36.4796142578125,150.00006506838974,150.00002086162567,0.0
-36.5,15.0,-36.4796142578125,149.9999719361438,149.9999314546585,0.0
