x0_mm,z0_mm,x_final_mid_mm,final_thickness_mm,min_thickness_during_rolling_mm,min_time_in_rolling_s,rebound_final_minus_min_mm,rebound_pct_of_min_compression,final_reduction_pct,min_reduction_pct,final_le_target_0p135,top_node,bottom_node
-0.66666669,-22.49999809,-0.38782710,0.128571242,0.128571242,0.150000006,0.000000000,0.000000,14.285842,14.285842,1,6208,6286
-0.66666669,-20.00000000,-0.38782525,0.128571123,0.128571123,0.150000006,0.000000000,0.000000,14.285922,14.285922,1,6207,6285
-0.66666669,-17.50000000,-0.38782430,0.128570557,0.128570557,0.150000006,0.000000000,0.000000,14.286299,14.286299,1,6206,6284
-0.66666669,-15.00000000,-0.38782406,0.128571197,0.128571197,0.150000006,0.000000000,0.000000,14.285871,14.285871,1,6205,6283
-0.66666669,-12.50000000,-0.38782430,0.128572822,0.128572822,0.150000006,0.000000000,0.000000,14.284790,14.284790,1,6204,6282
-0.66666669,-10.00000000,-0.38782489,0.128572062,0.128572062,0.150000006,0.000000000,0.000000,14.285296,14.285296,1,6203,6281
-0.66666669,-7.50000000,-0.38782582,0.128570214,0.128570214,0.150000006,0.000000000,0.000000,14.286527,14.286527,1,6202,6280
-0.66666669,-5.00000000,-0.38782531,0.128567353,0.128567353,0.150000006,0.000000000,0.000000,14.288434,14.288434,1,6201,6279
-0.66666669,-2.50000000,-0.38782430,0.128562659,0.128562659,0.150000006,0.000000000,0.000000,14.291564,14.291564,1,6200,6278
-0.66666669,0.00000000,-0.38782251,0.128559425,0.128559425,0.150000006,0.000000000,0.000000,14.293720,14.293720,1,6199,6277
-0.66666669,2.50000000,-0.38782012,0.128559768,0.128559768,0.150000006,0.000000000,0.000000,14.293492,14.293492,1,6198,6276
-0.66666669,5.00000000,-0.38781726,0.128562883,0.128562883,0.150000006,0.000000000,0.000000,14.291415,14.291415,1,6197,6275
-0.66666669,7.50000000,-0.38781467,0.128565162,0.128565162,0.150000006,0.000000000,0.000000,14.289895,14.289895,1,6196,6274
-0.66666669,10.00000000,-0.38781261,0.128565937,0.128565937,0.150000006,0.000000000,0.000000,14.289379,14.289379,1,6195,6273
-0.66666669,12.50000000,-0.38781059,0.128565490,0.128565490,0.150000006,0.000000000,0.000000,14.289677,14.289677,1,6194,6272
-0.66666669,15.00000000,-0.38780832,0.128565684,0.128565684,0.150000006,0.000000000,0.000000,14.289548,14.289548,1,6193,6271
-0.66666669,17.50000000,-0.38780683,0.128566444,0.128566444,0.150000006,0.000000000,0.000000,14.289041,14.289041,1,6192,6270
-0.66666669,20.00000000,-0.38780576,0.128567219,0.128567219,0.150000006,0.000000000,0.000000,14.288524,14.288524,1,6191,6269
-0.66666669,22.49999809,-0.38780499,0.128567174,0.128567174,0.150000006,0.000000000,0.000000,14.288554,14.288554,1,6190,6268
-0.66666669,25.00000000,-0.38780391,0.128566593,0.128566593,0.150000006,0.000000000,0.000000,14.288941,14.288941,1,6189,6267
-0.66666669,27.50000191,-0.38780224,0.128566146,0.128566146,0.150000006,0.000000000,0.000000,14.289239,14.289239,1,6188,6266
-0.66666669,30.00000000,-0.38780090,0.128566712,0.128566712,0.150000006,0.000000000,0.000000,14.288862,14.288862,1,6187,6265
